year,round,from_country_id,from_country,to_country_id,to_country,total_points,tele_points,jury_points,place_final,identifier
2000,final,be,Belgium,cy,Cyprus,0,NA,NA,21,2000_final_cy
2000,final,be,Belgium,il,Israel,0,NA,NA,22,2000_final_il
2000,final,be,Belgium,fr,France,0,NA,NA,23,2000_final_fr
2000,final,be,Belgium,be,Belgium,0,NA,NA,24,2000_final_be
2000,final,hr,Croatia,dk,Denmark,0,NA,NA,1,2000_final_dk
2000,final,hr,Croatia,ru,Russia,12,NA,NA,2,2000_final_ru
2000,final,hr,Croatia,lv,Latvia,0,NA,NA,3,2000_final_lv
2000,final,hr,Croatia,ee,Estonia,6,NA,NA,4,2000_final_ee
2000,final,hr,Croatia,de,Germany,1,NA,NA,5,2000_final_de
2000,final,hr,Croatia,ie,Ireland,5,NA,NA,6,2000_final_ie
2000,final,hr,Croatia,se,Sweden,0,NA,NA,7,2000_final_se
2000,final,hr,Croatia,mt,Malta,8,NA,NA,8,2000_final_mt
2000,final,hr,Croatia,hr,Croatia,0,NA,NA,9,2000_final_hr
2000,final,hr,Croatia,tr,Turkey,0,NA,NA,10,2000_final_tr
2000,final,hr,Croatia,no,Norway,0,NA,NA,11,2000_final_no
2000,final,hr,Croatia,is,Iceland,0,NA,NA,12,2000_final_is
2000,final,hr,Croatia,nl,Netherlands,2,NA,NA,13,2000_final_nl
2000,final,hr,Croatia,at,Austria,0,NA,NA,14,2000_final_at
2000,final,hr,Croatia,mk,North Macedonia,10,NA,NA,15,2000_final_mk
2000,final,hr,Croatia,gb,United Kingdom,4,NA,NA,16,2000_final_gb
2000,final,hr,Croatia,ro,Romania,7,NA,NA,17,2000_final_ro
2000,final,hr,Croatia,es,Spain,0,NA,NA,18,2000_final_es
2000,final,hr,Croatia,fi,Finland,0,NA,NA,18,2000_final_fi
2000,final,hr,Croatia,ch,Switzerland,0,NA,NA,20,2000_final_ch
2000,final,hr,Croatia,cy,Cyprus,3,NA,NA,21,2000_final_cy
2000,final,hr,Croatia,il,Israel,0,NA,NA,22,2000_final_il
2000,final,hr,Croatia,fr,France,0,NA,NA,23,2000_final_fr
2000,final,hr,Croatia,be,Belgium,0,NA,NA,24,2000_final_be
2000,final,cy,Cyprus,dk,Denmark,4,NA,NA,1,2000_final_dk
2000,final,cy,Cyprus,ru,Russia,12,NA,NA,2,2000_final_ru
2000,final,cy,Cyprus,lv,Latvia,1,NA,NA,3,2000_final_lv
2000,final,cy,Cyprus,ee,Estonia,6,NA,NA,4,2000_final_ee
2000,final,cy,Cyprus,de,Germany,0,NA,NA,5,2000_final_de
2000,final,cy,Cyprus,ie,Ireland,7,NA,NA,6,2000_final_ie
2000,final,cy,Cyprus,se,Sweden,0,NA,NA,7,2000_final_se
2000,final,cy,Cyprus,mt,Malta,8,NA,NA,8,2000_final_mt
2000,final,cy,Cyprus,hr,Croatia,0,NA,NA,9,2000_final_hr
2000,final,cy,Cyprus,tr,Turkey,0,NA,NA,10,2000_final_tr
2000,final,cy,Cyprus,no,Norway,0,NA,NA,11,2000_final_no
2000,final,cy,Cyprus,is,Iceland,0,NA,NA,12,2000_final_is
2000,final,cy,Cyprus,nl,Netherlands,5,NA,NA,13,2000_final_nl
2000,final,cy,Cyprus,at,Austria,0,NA,NA,14,2000_final_at
2000,final,cy,Cyprus,mk,North Macedonia,2,NA,NA,15,2000_final_mk
2000,final,cy,Cyprus,gb,United Kingdom,3,NA,NA,16,2000_final_gb
2000,final,cy,Cyprus,ro,Romania,0,NA,NA,17,2000_final_ro
2000,final,cy,Cyprus,es,Spain,10,NA,NA,18,2000_final_es
2000,final,cy,Cyprus,fi,Finland,0,NA,NA,18,2000_final_fi
2000,final,cy,Cyprus,ch,Switzerland,0,NA,NA,20,2000_final_ch
2000,final,cy,Cyprus,cy,Cyprus,0,NA,NA,21,2000_final_cy
2000,final,cy,Cyprus,il,Israel,0,NA,NA,22,2000_final_il
2000,final,cy,Cyprus,fr,France,0,NA,NA,23,2000_final_fr
2000,final,cy,Cyprus,be,Belgium,0,NA,NA,24,2000_final_be
2000,final,dk,Denmark,dk,Denmark,0,NA,NA,1,2000_final_dk
2000,final,dk,Denmark,ru,Russia,6,NA,NA,2,2000_final_ru
2000,final,dk,Denmark,lv,Latvia,8,NA,NA,3,2000_final_lv
2000,final,dk,Denmark,ee,Estonia,4,NA,NA,4,2000_final_ee
2000,final,dk,Denmark,de,Germany,2,NA,NA,5,2000_final_de
2000,final,dk,Denmark,ie,Ireland,5,NA,NA,6,2000_final_ie
2000,final,dk,Denmark,se,Sweden,10,NA,NA,7,2000_final_se
2000,final,dk,Denmark,mt,Malta,3,NA,NA,8,2000_final_mt
2000,final,dk,Denmark,hr,Croatia,0,NA,NA,9,2000_final_hr
2000,final,dk,Denmark,tr,Turkey,1,NA,NA,10,2000_final_tr
2000,final,dk,Denmark,no,Norway,7,NA,NA,11,2000_final_no
2000,final,dk,Denmark,is,Iceland,12,NA,NA,12,2000_final_is
2000,final,dk,Denmark,nl,Netherlands,0,NA,NA,13,2000_final_nl
2000,final,dk,Denmark,at,Austria,0,NA,NA,14,2000_final_at
2000,final,dk,Denmark,mk,North Macedonia,0,NA,NA,15,2000_final_mk
2000,final,dk,Denmark,gb,United Kingdom,0,NA,NA,16,2000_final_gb
2000,final,dk,Denmark,ro,Romania,0,NA,NA,17,2000_final_ro
2000,final,dk,Denmark,es,Spain,0,NA,NA,18,2000_final_es
2000,final,dk,Denmark,fi,Finland,0,NA,NA,18,2000_final_fi
2000,final,dk,Denmark,ch,Switzerland,0,NA,NA,20,2000_final_ch
2000,final,dk,Denmark,cy,Cyprus,0,NA,NA,21,2000_final_cy
2000,final,dk,Denmark,il,Israel,0,NA,NA,22,2000_final_il
2000,final,dk,Denmark,fr,France,0,NA,NA,23,2000_final_fr
2000,final,dk,Denmark,be,Belgium,0,NA,NA,24,2000_final_be
2000,final,ee,Estonia,dk,Denmark,8,NA,NA,1,2000_final_dk
2000,final,ee,Estonia,ru,Russia,10,NA,NA,2,2000_final_ru
2000,final,ee,Estonia,lv,Latvia,12,NA,NA,3,2000_final_lv
2000,final,ee,Estonia,ee,Estonia,0,NA,NA,4,2000_final_ee
2000,final,ee,Estonia,de,Germany,0,NA,NA,5,2000_final_de
2000,final,ee,Estonia,ie,Ireland,4,NA,NA,6,2000_final_ie
2000,final,ee,Estonia,se,Sweden,5,NA,NA,7,2000_final_se
2000,final,ee,Estonia,mt,Malta,1,NA,NA,8,2000_final_mt
2000,final,ee,Estonia,hr,Croatia,0,NA,NA,9,2000_final_hr
2000,final,ee,Estonia,tr,Turkey,0,NA,NA,10,2000_final_tr
2000,final,ee,Estonia,no,Norway,3,NA,NA,11,2000_final_no
2000,final,ee,Estonia,is,Iceland,6,NA,NA,12,2000_final_is
2000,final,ee,Estonia,nl,Netherlands,0,NA,NA,13,2000_final_nl
2000,final,ee,Estonia,at,Austria,0,NA,NA,14,2000_final_at
2000,final,ee,Estonia,mk,North Macedonia,0,NA,NA,15,2000_final_mk
2000,final,ee,Estonia,gb,United Kingdom,2,NA,NA,16,2000_final_gb
2000,final,ee,Estonia,ro,Romania,0,NA,NA,17,2000_final_ro
2000,final,ee,Estonia,es,Spain,0,NA,NA,18,2000_final_es
2000,final,ee,Estonia,fi,Finland,7,NA,NA,18,2000_final_fi
2000,final,ee,Estonia,ch,Switzerland,0,NA,NA,20,2000_final_ch
2000,final,ee,Estonia,cy,Cyprus,0,NA,NA,21,2000_final_cy
2000,final,ee,Estonia,il,Israel,0,NA,NA,22,2000_final_il
2000,final,ee,Estonia,fr,France,0,NA,NA,23,2000_final_fr
2000,final,ee,Estonia,be,Belgium,0,NA,NA,24,2000_final_be
2000,final,fi,Finland,dk,Denmark,10,NA,NA,1,2000_final_dk
2000,final,fi,Finland,ru,Russia,5,NA,NA,2,2000_final_ru
2000,final,fi,Finland,lv,Latvia,12,NA,NA,3,2000_final_lv
2000,final,fi,Finland,ee,Estonia,8,NA,NA,4,2000_final_ee
2000,final,fi,Finland,de,Germany,2,NA,NA,5,2000_final_de
2000,final,fi,Finland,ie,Ireland,1,NA,NA,6,2000_final_ie
2000,final,fi,Finland,se,Sweden,7,NA,NA,7,2000_final_se
2000,final,fi,Finland,mt,Malta,0,NA,NA,8,2000_final_mt
2000,final,fi,Finland,hr,Croatia,6,NA,NA,9,2000_final_hr
2000,final,fi,Finland,tr,Turkey,4,NA,NA,10,2000_final_tr
2000,final,fi,Finland,no,Norway,0,NA,NA,11,2000_final_no
2000,final,fi,Finland,is,Iceland,0,NA,NA,12,2000_final_is
2000,final,fi,Finland,nl,Netherlands,0,NA,NA,13,2000_final_nl
2000,final,fi,Finland,at,Austria,3,NA,NA,14,2000_final_at
2000,final,fi,Finland,mk,North Macedonia,0,NA,NA,15,2000_final_mk
2000,final,fi,Finland,gb,United Kingdom,0,NA,NA,16,2000_final_gb
2000,final,fi,Finland,ro,Romania,0,NA,NA,17,2000_final_ro
2000,final,fi,Finland,es,Spain,0,NA,NA,18,2000_final_es
2000,final,fi,Finland,fi,Finland,0,NA,NA,18,2000_final_fi
